pdf_name,mes,mes_num,dia,precio_ica,precio_libertad,precio_lima
23_setiembre_2025.pdf,sep,9,15,5.14,4.9,5.1
23_setiembre_2025.pdf,sep,9,16,5.29,4.9,5.1
23_setiembre_2025.pdf,sep,9,17,5.25,4.9,5.2
23_setiembre_2025.pdf,sep,9,18,5.25,4.9,5.2
23_setiembre_2025.pdf,sep,9,19,5.29,4.9,5.2
23_setiembre_2025.pdf,sep,9,20,5.56,4.9,5.2
23_setiembre_2025.pdf,sep,9,22,5.1,4.7,5.3
24_marzo_2026.pdf,mar,3,11,6.19,5.8,6.27
24_marzo_2026.pdf,mar,3,12,6.66,5.85,6.38
24_marzo_2026.pdf,mar,3,14,7.12,5.85,6.09
24_marzo_2026.pdf,mar,3,16,6.49,6.0,6.12
24_marzo_2026.pdf,mar,3,17,6.67,5.78,6.68
24_marzo_2026.pdf,mar,3,18,6.53,5.8,6.27
24_marzo_2026.pdf,mar,3,20,6.3,5.57,6.68
24_marzo_2026.pdf,mar,3,23,5.87,5.25,6.17
24_noviembre_2025.pdf,nov,11,8,4.91,3.9,4.55
24_noviembre_2025.pdf,nov,11,10,4.34,3.8,4.55
24_noviembre_2025.pdf,nov,11,11,4.34,3.7,4.55
24_noviembre_2025.pdf,nov,11,12,4.29,3.7,4.53
24_noviembre_2025.pdf,nov,11,13,4.15,3.7,4.53
24_noviembre_2025.pdf,nov,11,14,4.61,3.7,4.53
24_noviembre_2025.pdf,nov,11,15,4.61,3.7,4.53
24_noviembre_2025.pdf,nov,11,17,4.17,3.7,4.53
24_noviembre_2025.pdf,nov,11,18,4.17,3.9,4.53
24_noviembre_2025.pdf,nov,11,19,4.34,4.0,4.53
24_noviembre_2025.pdf,nov,11,20,4.39,4.0,4.53
24_noviembre_2025.pdf,nov,11,21,4.58,4.1,4.53
24_octubre_2025.pdf,oct,10,8,4.4,4.1,5.0
24_octubre_2025.pdf,oct,10,9,4.25,4.2,5.0
24_octubre_2025.pdf,oct,10,10,4.28,4.1,4.7
24_octubre_2025.pdf,oct,10,11,4.62,4.1,4.7
24_octubre_2025.pdf,oct,10,13,4.23,4.1,4.7
