pdf_name,mes,mes_num,dia,mayorista,minorista
17_febrero_2026.pdf,feb,2,11,6.35,7.16
17_febrero_2026.pdf,feb,2,12,6.25,7.16
17_febrero_2026.pdf,feb,2,13,6.15,7.23
17_febrero_2026.pdf,feb,2,14,6.15,7.23
17_febrero_2026.pdf,feb,2,15,6.15,7.23
17_febrero_2026.pdf,feb,2,16,6.1,7.32
17_febrero_2026.pdf,feb,2,1,4.6,4.26
17_febrero_2026.pdf,feb,2,2,4.86,4.37
17_febrero_2026.pdf,feb,2,3,5.21,4.62
17_febrero_2026.pdf,feb,2,4,5.44,5.51
17_febrero_2026.pdf,feb,2,5,5.71,5.23
17_febrero_2026.pdf,feb,2,6,5.91,5.23
17_febrero_2026.pdf,feb,2,7,6.31,5.63
17_febrero_2026.pdf,feb,2,8,5.87,5.63
17_febrero_2026.pdf,feb,2,9,6.15,5.63
17_febrero_2026.pdf,feb,2,10,6.27,5.63
17_febrero_2026.pdf,feb,2,11,6.26,5.63
17_febrero_2026.pdf,feb,2,12,6.22,5.63
17_febrero_2026.pdf,feb,2,13,6.11,5.63
17_febrero_2026.pdf,feb,2,14,6.35,5.63
17_febrero_2026.pdf,feb,2,16,6.18,5.25
17_noviembre_2025.pdf,nov,11,4,4.85,6.26
17_noviembre_2025.pdf,nov,11,5,4.83,6.34
17_noviembre_2025.pdf,nov,11,6,4.78,6.34
17_noviembre_2025.pdf,nov,11,7,4.73,6.37
17_noviembre_2025.pdf,nov,11,8,4.73,6.37
17_noviembre_2025.pdf,nov,11,9,4.73,6.37
17_noviembre_2025.pdf,nov,11,10,4.73,6.25
17_noviembre_2025.pdf,nov,11,11,4.7,6.25
17_noviembre_2025.pdf,nov,11,12,4.63,6.23
17_noviembre_2025.pdf,nov,11,13,4.58,6.23
17_noviembre_2025.pdf,nov,11,14,4.55,6.15
17_noviembre_2025.pdf,nov,11,15,4.53,6.15
17_noviembre_2025.pdf,nov,11,16,4.53,6.15
17_noviembre_2025.pdf,nov,11,2,4.7,4.55
17_noviembre_2025.pdf,nov,11,3,4.76,4.55
17_noviembre_2025.pdf,nov,11,5,4.74,4.55
17_noviembre_2025.pdf,nov,11,9,4.26,4.55
17_noviembre_2025.pdf,nov,11,11,4.34,4.55
17_noviembre_2025.pdf,nov,11,12,4.29,4.53
17_noviembre_2025.pdf,nov,11,13,4.15,4.53
17_noviembre_2025.pdf,nov,11,14,4.61,4.53
17_noviembre_2025.pdf,nov,11,15,4.61,4.53
17_noviembre_2025.pdf,nov,11,16,3.65,4.53
17_setiembre_2025.pdf,sep,9,4,5.7,7.15
17_setiembre_2025.pdf,sep,9,5,5.65,7.12
17_setiembre_2025.pdf,sep,9,6,5.65,7.12
17_setiembre_2025.pdf,sep,9,7,5.65,7.12
17_setiembre_2025.pdf,sep,9,8,5.45,6.92
17_setiembre_2025.pdf,sep,9,9,5.3,6.92
17_setiembre_2025.pdf,sep,9,10,5.25,6.73
17_setiembre_2025.pdf,sep,9,11,5.25,6.73
17_setiembre_2025.pdf,sep,9,12,5.25,6.78
17_setiembre_2025.pdf,sep,9,13,5.23,6.78
17_setiembre_2025.pdf,sep,9,14,5.23,6.78
17_setiembre_2025.pdf,sep,9,15,5.28,6.52
17_setiembre_2025.pdf,sep,9,16,5.28,6.52
17_setiembre_2025.pdf,sep,9,7,4.9,5.4
17_setiembre_2025.pdf,sep,9,10,5.05,5.1
17_setiembre_2025.pdf,sep,9,14,4.8,5.1
18_diciembre_2025.pdf,dic,12,5,5.73,6.75
18_diciembre_2025.pdf,dic,12,6,5.73,6.75
18_diciembre_2025.pdf,dic,12,7,5.73,6.75
18_diciembre_2025.pdf,dic,12,8,5.73,6.79
18_diciembre_2025.pdf,dic,12,9,5.73,6.79
18_diciembre_2025.pdf,dic,12,10,5.68,6.86
18_diciembre_2025.pdf,dic,12,11,5.58,6.86
18_diciembre_2025.pdf,dic,12,12,5.5,6.86
18_diciembre_2025.pdf,dic,12,13,5.5,6.86
18_diciembre_2025.pdf,dic,12,14,5.5,6.86
18_diciembre_2025.pdf,dic,12,15,5.2,6.86
18_diciembre_2025.pdf,dic,12,16,5.2,6.86
18_diciembre_2025.pdf,dic,12,17,4.9,6.79
18_diciembre_2025.pdf,dic,12,7,5.39,4.8
18_diciembre_2025.pdf,dic,12,14,4.26,6.23
18_febrero_2026.pdf,feb,2,5,5.55,6.15
18_febrero_2026.pdf,feb,2,6,5.95,6.72
18_febrero_2026.pdf,feb,2,7,6.08,6.72
18_febrero_2026.pdf,feb,2,8,6.08,6.72
18_febrero_2026.pdf,feb,2,9,6.1,7.03
18_febrero_2026.pdf,feb,2,10,6.28,7.03
18_febrero_2026.pdf,feb,2,11,6.35,7.16
18_febrero_2026.pdf,feb,2,12,6.25,7.16
18_febrero_2026.pdf,feb,2,13,6.15,7.23
18_febrero_2026.pdf,feb,2,14,6.15,7.23
18_febrero_2026.pdf,feb,2,15,6.15,7.23
18_febrero_2026.pdf,feb,2,16,6.1,7.32
18_febrero_2026.pdf,feb,2,17,6.08,7.32
18_febrero_2026.pdf,feb,2,2,4.86,4.37
18_febrero_2026.pdf,feb,2,3,5.21,4.62
18_febrero_2026.pdf,feb,2,4,5.44,5.51
18_febrero_2026.pdf,feb,2,5,5.71,5.23
18_febrero_2026.pdf,feb,2,6,5.91,5.23
18_febrero_2026.pdf,feb,2,7,6.31,5.63
18_febrero_2026.pdf,feb,2,8,5.87,5.63
18_febrero_2026.pdf,feb,2,9,6.15,5.63
18_febrero_2026.pdf,feb,2,10,6.27,5.63
18_febrero_2026.pdf,feb,2,11,6.26,5.63
18_febrero_2026.pdf,feb,2,12,6.22,5.63
18_febrero_2026.pdf,feb,2,13,6.11,5.63
18_febrero_2026.pdf,feb,2,14,6.35,5.63
18_febrero_2026.pdf,feb,2,16,6.18,5.25
18_febrero_2026.pdf,feb,2,17,5.16,5.65
18_marzo_2026.pdf,mar,3,5,5.93,6.89
18_marzo_2026.pdf,mar,3,6,5.85,6.98
18_marzo_2026.pdf,mar,3,7,5.85,6.98
18_marzo_2026.pdf,mar,3,8,5.85,6.98
18_marzo_2026.pdf,mar,3,9,6.15,7.16
18_marzo_2026.pdf,mar,3,10,6.33,7.16
18_marzo_2026.pdf,mar,3,11,6.4,7.28
18_marzo_2026.pdf,mar,3,12,6.4,7.28
18_marzo_2026.pdf,mar,3,13,6.4,7.46
18_marzo_2026.pdf,mar,3,14,6.4,7.46
18_marzo_2026.pdf,mar,3,15,6.4,7.46
18_marzo_2026.pdf,mar,3,16,6.4,7.75
18_marzo_2026.pdf,mar,3,17,6.4,7.75
18_marzo_2026.pdf,mar,3,2,6.07,5.83
18_marzo_2026.pdf,mar,3,3,5.95,5.83
18_marzo_2026.pdf,mar,3,4,5.8,6.08
18_marzo_2026.pdf,mar,3,5,5.74,6.08
18_marzo_2026.pdf,mar,3,6,5.92,6.08
18_marzo_2026.pdf,mar,3,7,6.29,6.08
18_marzo_2026.pdf,mar,3,8,6.03,6.08
18_marzo_2026.pdf,mar,3,9,5.81,5.97
18_marzo_2026.pdf,mar,3,10,6.4,6.12
18_marzo_2026.pdf,mar,3,13,6.69,6.2
18_marzo_2026.pdf,mar,3,15,6.31,6.38
18_noviembre_2025.pdf,nov,11,5,4.83,6.34
18_noviembre_2025.pdf,nov,11,6,4.78,6.34
18_noviembre_2025.pdf,nov,11,7,4.73,6.37
18_noviembre_2025.pdf,nov,11,8,4.73,6.37
18_noviembre_2025.pdf,nov,11,9,4.73,6.37
18_noviembre_2025.pdf,nov,11,10,4.73,6.25
18_noviembre_2025.pdf,nov,11,11,4.7,6.25
18_noviembre_2025.pdf,nov,11,12,4.63,6.23
18_noviembre_2025.pdf,nov,11,13,4.58,6.23
18_noviembre_2025.pdf,nov,11,14,4.55,6.15
18_noviembre_2025.pdf,nov,11,15,4.53,6.15
18_noviembre_2025.pdf,nov,11,16,4.53,6.15
18_noviembre_2025.pdf,nov,11,17,4.48,6.09
18_noviembre_2025.pdf,nov,11,2,4.7,4.55
18_noviembre_2025.pdf,nov,11,3,4.76,4.55
18_noviembre_2025.pdf,nov,11,5,4.74,4.55
18_noviembre_2025.pdf,nov,11,9,4.26,4.55
18_noviembre_2025.pdf,nov,11,16,3.65,4.53
18_setiembre_2025.pdf,sep,9,5,5.65,7.12
18_setiembre_2025.pdf,sep,9,6,5.65,7.12
18_setiembre_2025.pdf,sep,9,7,5.65,7.12
18_setiembre_2025.pdf,sep,9,8,5.45,6.92
18_setiembre_2025.pdf,sep,9,9,5.3,6.92
18_setiembre_2025.pdf,sep,9,10,5.25,6.73
18_setiembre_2025.pdf,sep,9,11,5.25,6.73
18_setiembre_2025.pdf,sep,9,12,5.25,6.78
18_setiembre_2025.pdf,sep,9,13,5.23,6.78
18_setiembre_2025.pdf,sep,9,14,5.23,6.78
18_setiembre_2025.pdf,sep,9,15,5.28,6.52
18_setiembre_2025.pdf,sep,9,16,5.28,6.52
18_setiembre_2025.pdf,sep,9,17,5.28,6.53
18_setiembre_2025.pdf,sep,9,7,4.9,5.4
18_setiembre_2025.pdf,sep,9,10,5.05,5.1
18_setiembre_2025.pdf,sep,9,14,4.8,5.1
19_diciembre_2025.pdf,dic,12,6,5.73,6.75
19_diciembre_2025.pdf,dic,12,7,5.73,6.75
19_diciembre_2025.pdf,dic,12,8,5.73,6.79
19_diciembre_2025.pdf,dic,12,9,5.73,6.79
19_diciembre_2025.pdf,dic,12,10,5.68,6.86
19_diciembre_2025.pdf,dic,12,11,5.58,6.86
19_diciembre_2025.pdf,dic,12,12,5.5,6.86
19_diciembre_2025.pdf,dic,12,13,5.5,6.86
19_diciembre_2025.pdf,dic,12,14,5.5,6.86
19_diciembre_2025.pdf,dic,12,15,5.2,6.86
19_diciembre_2025.pdf,dic,12,16,5.2,6.86
19_diciembre_2025.pdf,dic,12,17,4.9,6.79
19_diciembre_2025.pdf,dic,12,18,4.7,6.79
19_diciembre_2025.pdf,dic,12,7,5.39,4.8
19_diciembre_2025.pdf,dic,12,14,4.26,6.23
