ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2024,      357103001,2,1,82,4,2023, 
2024,      357104301,1,1,87,12,2022, 
2024,      357201701,1,2,52,12,2023, 
2024,      357808101,1,2,63,5,2021, 
2024,      358002701,1,2,93,1,2021, 
2024,      358106501,1,1,75,11,2021, 
2024,      358215601,1,1,45,5,2020, 
2024,      358303201,1,2,89,4,2023, 
2024,      358505101,1,2,41,1,2021,4
2024,      358508101,1,1,42,8,2022, 
2024,      358609301,1,1,77,11,2020, 
2024,      358902601,1,2,87,4,2020, 
2024,      359002701,1,1,38,2,2021, 
2024,      359407401,1,1,32,3,2022, 
2024,      359500801,1,1,55,11,2022, 
2024,      359508001,1,2,51,8,2020, 
2024,      359800501,1,1,8,5,2019, 
2024,      359813101,1,1,87,4,2020, 
2024,      360001101,1,1,26,9,2023, 
2024,      360109701,1,2,80,5,2021, 
2024,      360207201,1,1,1,5,2024, 
2024,      360215001,1,2,64,5,2022, 
2024,      360215001,2,2,93,8,2023, 
2024,      360215002,1,1,1,3,2023, 
2024,      360300801,1,1,42,1,2024, 
2024,      360402501,1,1,92,3,2024, 
2024,      360702801,1,2,64,8,2021, 
2024,      360707701,1,1,60,12,2021, 
2024,      360707701,2,1,59,2,2024, 
2024,      360806002,1,2,50,6,2019, 
2024,      360819601,1,1,55,1,2021, 
2024,      360902401,1,1,92,4,2023, 
2024,      360908501,1,1,60,8,2021, 
2024,      360913801,1,1,56,2,2019, 
2024,      361011001,1,1,84,6,2020, 
2024,      361100801,1,2,55,11,2023, 
2024,      361101701,1,1,50,9,2022, 
2024,      361207201,1,1,87,1,2024, 
2024,      361301401,1,2,30,4,2021,4
2024,      361308001,1,2,58,4,2020, 
2024,      361400301,1,1,52,9,2021, 
2024,      361410001,1,2,0,10,2020, 
2024,      361410001,2,1,61,10,2021, 
2024,      361813301,1,1,39,2,2023, 
2024,      361904801,1,2,76,7,2020, 
2024,      361908201,1,1,85,9,2020, 
2024,      361916401,1,2,110,6,2019, 
2024,      362008301,1,2,0,3,2021, 
2024,      362008301,2,2,0,5,2022, 
2024,      362100801,1,1,37,6,2023, 
2024,      362103201,1,1,3,11,2020, 
2024,      362108101,1,2,27,3,2023,4
2024,      362304601,1,1,76,6,2020, 
2024,      362309001,1,1,71,10,2020, 
2024,      362316601,1,1,72,7,2023, 
2024,      362505001,1,1,61,6,2020, 
2024,      362507101,1,1,40,2,2021, 
2024,      362800601,1,2,65,4,2019, 
2024,      362800601,2,1,80,7,2020, 
2024,      362804901,1,2,54,4,2019, 
2024,      362804901,2,1,96,4,2019, 
2024,      363001201,1,2,78,8,2020, 
2024,      363100101,1,2,36,8,2019,2
2024,      363603501,1,1,80,3,2020, 
2024,      363603501,2,1,59,8,2020, 
2024,      363901301,1,2,57,6,2022, 
2024,      364004801,1,1,50,12,2022, 
2024,      364104401,1,1,57,6,2023, 
2024,      364403901,1,2,84,8,2022, 
2024,      364705101,1,2,79,11,2022, 
2024,      364907801,1,1,65,8,2020, 
2024,      365005701,1,2,61,7,2020, 
2024,      365106501,1,2,28,3,2020,4
2024,      365204501,1,1,65,5,2019, 
2024,      365209601,1,1,92,12,2023, 
2024,      365302401,1,1,75,6,2020, 
2024,      365609001,1,1,65,1,2020, 
2024,      365800901,1,1,66,2,2024, 
2024,      365905001,1,1,38,5,2019, 
2024,      365905001,2,2,52,2,2022, 
2024,      366010101,1,1,73,7,2020, 
2024,      366100301,1,2,85,11,2023, 
2024,      366101901,1,1,78,11,2023, 
2024,      366204401,1,2,66,7,2019, 
2024,      366206401,1,2,98,5,2020, 
2024,      366306601,1,1,90,10,2023, 
2024,      366801801,1,1,87,11,2023, 
2024,      366802701,1,1,27,8,2020, 
2024,      366802701,2,2,52,12,2021, 
2024,      366805901,1,1,85,3,2024, 
2024,      367001901,1,1,74,1,2021, 
2024,      367007401,1,1,79,9,2023, 
2024,      367204201,1,2,80,8,2020, 
2024,      367303401,1,2,61,8,2023, 
2024,      367311201,1,2,65,6,2021, 
2024,      367403001,1,2,70,4,2022, 
2024,      367403501,1,1,96,1,2022, 
2024,      367502501,1,1,77,3,2022, 
2024,      367503801,1,1,64,11,2022, 
2024,      367903301,1,1,74,10,2023, 
2024,      367906601,1,1,93,3,2023, 
2024,      368005301,1,2,52,9,2020, 
2024,      368007201,1,1,101,4,2021, 
2024,      368102201,1,2,14,6,2019,4
2024,      368102601,1,1,57,12,2021, 
2024,      368204201,1,2,64,3,2021, 
2024,      368401201,1,2,62,9,2022, 
2024,      368715601,1,2,62,12,2020, 
2024,      368803301,1,1,48,10,2023, 
2024,      368805601,1,2,43,6,2022,4
2024,      368806701,1,1,84,6,2019, 
2024,      368901101,1,1,74,6,2020, 
2024,      368901101,2,2,82,4,2021, 
2024,      368901501,1,1,59,11,2021, 
2024,      368903701,1,2,75,12,2021, 
2024,      368909801,1,2,77,12,2021, 
2024,      368913601,1,2,93,11,2020, 
2024,      369103001,1,2,68,6,2021, 
2024,      369103001,2,1,62,8,2021, 
2024,      369108401,1,1,46,7,2020, 
2024,      369204101,1,1,93,9,2021, 
2024,      369207801,1,2,94,3,2022, 
2024,      369308101,1,1,90,2,2023, 
2024,      369501801,1,1,44,2,2024, 
2024,      369508601,1,2,92,6,2023, 
2024,      369508602,1,2,92,6,2023, 
2024,      369602701,1,1,64,10,2020, 
2024,      369605201,1,1,70,12,2022, 
2024,      369610101,1,1,55,4,2019, 
2024,      369812701,1,1,1,4,2021, 
2024,      370214801,1,1,33,4,2021, 
2024,      370503601,1,1,42,5,2019, 
2024,      370704201,1,2,54,6,2022, 
2024,      370806801,1,1,53,8,2020, 
2024,      371102101,1,2,80,7,2023, 
2024,      371106301,1,1,78,8,2019, 
2024,      371107801,1,1,26,3,2021, 
2024,      371110901,1,2,56,8,2019, 
2024,      371110901,2,1,66,8,2022, 
2024,      371112501,1,2,64,4,2023, 
2024,      371300301,1,1,19,12,2019, 
2024,      371300301,2,1,14,12,2019, 
2024,      371300901,1,1,65,10,2019, 
2024,      371303601,1,1,6,2,2019, 
2024,      371407101,1,1,72,7,2020, 
2024,      371502601,1,1,0,1,2022, 
2024,      371601701,1,2,27,9,2021,4
2024,      371605901,1,2,82,1,2022, 
2024,      371606101,1,2,92,3,2024, 
2024,      371700201,1,1,57,8,2022, 
2024,      371702001,1,1,42,4,2021, 
2024,      371803401,1,2,92,2,2023, 
2024,      371901101,1,2,78,7,2022, 
2024,      372006401,1,2,85,11,2023, 
2024,      372106301,1,1,60,6,2023, 
2024,      372501501,1,1,60,11,2019, 
2024,      372609101,1,2,84,3,2019, 
2024,      372713201,1,2,60,6,2020, 
2024,      372901901,1,1,54,3,2021, 
2024,      373001501,1,1,90,8,2020, 
2024,      373102301,1,2,98,5,2024, 
2024,      373500601,1,2,74,6,2020, 
2024,      373500601,2,1,85,10,2023, 
2024,      373501101,1,2,65,8,2023, 
2024,      373613301,1,1,0,5,2023, 
2024,      373700501,1,2,44,9,2023,4
2024,      373715801,1,1,54,10,2023, 
2024,      373910701,1,2,80,3,2021, 
2024,      374007701,1,1,74,7,2020, 
2024,      374308201,1,2,78,2,2021, 
2024,      374905501,1,1,67,5,2021, 
2024,      375005001,1,1,38,2,2022, 
2024,      375704201,1,1,91,9,2020, 
2024,      375801001,1,2,99,1,2021, 
2024,      375910001,1,2,70,4,2021, 
2024,      376004001,1,1,63,6,2020, 
2024,      376008101,1,1,75,1,2019, 
